iter	RMSE
350	51.88261598
351	51.74471157
352	51.44271974
353	51.19840444
354	50.96295754
355	50.64166999
356	50.42902684
357	50.22002583
358	49.91654796
359	49.70523655
360	49.42248202
361	49.40095899
362	49.25420923
363	49.16232013
364	49.11815802
365	48.94902806
366	48.7474596
367	48.73274431
368	48.4820926
369	48.44113811
370	48.11633416
371	47.80472273
372	47.59271926
373	47.49545696
374	47.32810017
375	47.2391349
376	46.98701517
377	46.94114432
378	46.76416567
379	46.63095922
380	46.50373816
381	46.28958431
382	46.27432617
383	46.02946559
384	45.96243453
385	45.88322521
386	45.65578261
387	45.48950889
388	45.31333641
389	45.17803577
390	45.0935824
391	44.93992995
392	44.80721478
393	44.63447734
394	44.37622771
395	44.29812823
396	44.23928903
397	44.10352568
398	43.82929506
399	43.78894354
400	43.48391349
401	43.36530294
402	43.09609703
403	43.07808765
404	42.84429464
405	42.82258443
406	42.59690624
407	42.5380863
408	42.41509645
409	42.18728707
410	41.99745167
411	41.89497449
412	41.66868442
413	41.46994093
414	41.3588605
415	41.08322278
416	40.98126726
417	40.89481647
418	40.60680654
419	40.4515814
420	40.27652964
421	39.88084974
422	39.84456326
423	39.6768727
424	39.54470466
425	39.34786971
426	39.16850024
427	39.15448413
428	39.09319486
429	38.9903701
430	38.80409984
431	38.62184925
432	38.4520074
433	38.15622511
434	38.07839447
435	37.79698565
436	37.66630359
437	37.49537681
438	37.31086085
439	37.12333553
440	36.93112082
441	36.85418511
442	36.76499723
443	36.57775836
444	36.55914845
445	36.36938298
446	36.34321882
447	36.2995981
448	36.28627442
449	36.23140629
450	36.21552781
451	36.13806338
452	36.07130293
453	36.05870299
454	35.81336876
455	35.76763665
456	35.68238785
457	35.50606837
458	35.24834921
459	35.08694227
460	35.05817024
461	34.889068
462	34.66652085
463	34.53783265
464	34.35448697
465	34.2038115
466	34.06991929
467	33.9408185
468	33.84302311
469	33.70627047
470	33.69011801
471	33.58696209
472	33.50018741
473	33.22168156
474	33.07171465
475	32.90520253
476	32.7086173
477	32.63034167
478	32.54737218
479	32.40051479
480	32.38161373
481	32.36597694
482	32.22657845
483	32.15461361
484	32.06341999
485	31.99055355
486	31.78553494
487	31.75881972
488	31.68406158
489	31.45752636
490	31.40922751
491	31.38861124
492	31.24976368
493	31.12784607
494	31.05786254
495	31.00175422
496	30.9736063
497	30.93646859
498	30.81926141
499	30.73776997
